fold,mae,mse,rmse,r2
1,0.7925373911857605,1.0560861825942993,1.0276605385993467,0.15969109535217285
2,0.7475156188011169,0.8308174014091492,0.9114918548232612,0.3322945833206177
3,0.931555449962616,1.4037243127822876,1.184788720735595,-0.5066090822219849
4,0.6718770861625671,0.6902329325675964,0.8308025833900593,0.40985924005508423
5,0.7107308506965637,0.7391297221183777,0.8597265391497332,0.4148983359336853
6,0.7049790024757385,0.8711578249931335,0.9333583582917836,0.3387429118156433
7,0.8489612936973572,0.9915791153907776,0.9957806562646101,0.31277966499328613
8,0.662828803062439,0.752985417842865,0.8677473237313181,0.29249250888824463
9,0.8692818284034729,1.3056864738464355,1.1426663878168621,0.016354739665985107
10,0.8292801380157471,0.9741527438163757,0.9869917648168984,0.4070119857788086
