hidden_channels,dropout,lr,mean_auc,std_auc,mean_balanced_acc,std_balanced_acc
64,0.0,0.001,0.7900979157015151,0.051611163156806715,0.535519118308592,0.07533721426262562
64,0.0,0.0005,0.8056640126918408,0.035299931957447225,0.4910235417603839,0.05126097935803507
64,0.0,0.0001,0.7727662471907785,0.042221341250784444,0.46588364072574595,0.03833501837541673
64,0.2,0.001,0.7922860330836736,0.05201305267752478,0.5269419703103913,0.08983288106093311
64,0.2,0.0005,0.7960199747262663,0.028543846815313988,0.48751596941070624,0.025993029511124303
64,0.2,0.0001,0.7673572823907066,0.04917047493407464,0.4472916479232268,0.0701138421280381
64,0.4,0.001,0.7780510893119785,0.04478007243724094,0.49088229119808063,0.03296090039327079
64,0.4,0.0005,0.7687174635373364,0.03643928766963734,0.4859751087119508,0.038755177640074044
64,0.4,0.0001,0.752731353576181,0.05550610218957841,0.4541568451042134,0.059753710529368835
128,0.0,0.001,0.8140924357005724,0.040789473094473505,0.5337686309791574,0.06969559969861419
128,0.0,0.0005,0.8027901608373478,0.05070695141029993,0.5733106912580597,0.07531478528632855
128,0.0,0.0001,0.7881665214532728,0.028518371237579783,0.49459619133303334,0.03266708688098499
128,0.2,0.001,0.7934076114672001,0.05107479556793051,0.5472588094167041,0.0726116776931265
128,0.2,0.0005,0.8019728527505297,0.03675281700235971,0.5164972259709102,0.07067799724921062
128,0.2,0.0001,0.7874203781531369,0.019433694878358207,0.49201949317738797,0.034436791896065
128,0.4,0.001,0.7816634730911802,0.04608489130356084,0.4999967011545959,0.035472470787077943
128,0.4,0.0005,0.7964331773512052,0.04435364671295511,0.4943397810766232,0.04518569445253423
128,0.4,0.0001,0.7775879580525678,0.034135577486869205,0.49141340530814215,0.0344403084763322
256,0.0,0.001,0.7845734312683799,0.06432641840955992,0.5483721697405908,0.09829439943175346
256,0.0,0.0005,0.8148306428285255,0.04270429999815038,0.6257288948867896,0.07982838810202235
256,0.0,0.0001,0.8081942636467743,0.027808110441765458,0.49061118608487037,0.03875053622987469
256,0.2,0.001,0.7202530106849527,0.13071443978590896,0.4748040185934923,0.09412236244140963
256,0.2,0.0005,0.8041711101069844,0.03619934426575428,0.5459317738791423,0.0776926995159956
256,0.2,0.0001,0.8068010228215915,0.030813407873201148,0.49260428849902543,0.03291934853248631
256,0.4,0.001,0.761200724277403,0.06720265143022375,0.49138581496476236,0.07672370611945137
256,0.4,0.0005,0.7859112460829036,0.050527165657794824,0.5438562003298845,0.07494444145343385
256,0.4,0.0001,0.7875623528854019,0.031131849195483438,0.4980485829959515,0.029784955596894466
