fold,accuracy,precision,recall,f1_score,auc_roc
1,0.6875,0.6437499999999999,0.6875,0.6648860398860399,0.7751012145748989
2,0.7708333333333334,0.7278645833333334,0.7708333333333334,0.7423234811165846,0.6977173036459182
3,0.7291666666666666,0.6812934851359899,0.7291666666666666,0.7010233918128654,0.8059546243454289
4,0.7083333333333334,0.6650910364145659,0.7083333333333334,0.6732323232323232,0.7965275711494707
5,0.6666666666666666,0.6339130434782609,0.6666666666666666,0.6421452301850974,0.7181321764655099
6,0.6458333333333334,0.6073188405797102,0.6458333333333334,0.6231069663637813,0.7244183285849952
7,0.6808510638297872,0.6418631397354801,0.6808510638297872,0.6305302262749071,0.7677679919059228
8,0.574468085106383,0.5334346504559271,0.574468085106383,0.5527900441589723,0.7157659299764564
9,0.7021276595744681,0.6671677459142769,0.7021276595744681,0.6820089738022869,0.7655335307966885
10,0.6595744680851063,0.6162613981762918,0.6595744680851063,0.6366920915295062,0.7042158426368953
