fpr,tpr
0.0,0.0
0.0,0.034482758620689655
0.0,0.41379310344827586
0.041666666666666664,0.41379310344827586
0.041666666666666664,0.6551724137931034
0.08333333333333333,0.6551724137931034
0.08333333333333333,0.6896551724137931
0.125,0.6896551724137931
0.125,0.7931034482758621
0.25,0.7931034482758621
0.25,0.896551724137931
0.2916666666666667,0.896551724137931
0.2916666666666667,0.9310344827586207
0.4166666666666667,0.9310344827586207
0.4166666666666667,0.9655172413793104
0.4583333333333333,0.9655172413793104
0.4583333333333333,1.0
1.0,1.0
