model_type,problem_type,input_type,mse,r2,pearson_corr
XGBoost,regression,PCA,3.2704973524449734,0.6420536843052471,0.8013067671152532
XGBoost,regression,Factor_Analysis,3.7684174475335417,0.5875577944326891,0.772378957618285
XGBoost,regression,correlation_variance_filter,3.412345623444292,0.6265288082634062,0.7967625992038058
XGBoost,regression,genetic_algorithm,10.871522837415622,-0.0898126817928817,0.0636711776215474
XGBoost,regression,random_forest_elimination,3.587119082748313,0.6074003672046381,0.7800653648363141
random_forest,regression,PCA,3.149953623164591,0.6552468409191063,0.8095983688675181
random_forest,regression,genetic_algorithm,10.926797065431074,-0.0953536308915889,0.0729185251657888
random_forest,regression,random_forest_elimination,3.167114897972596,0.6533685898679144,0.8086356378510251
random_forest,regression,Factor_Analysis,3.572296932225368,0.6090226079829083,0.7805909424400309
random_forest,regression,correlation_variance_filter,3.259094175886536,0.6433017284393474,0.8023156357013755
SVM,regression,random_forest_elimination,3.2313366798065664,0.646339704742037,0.8051846703835307
SVM,regression,PCA,3.5482581575654395,0.6116535811640684,0.7841156051821632
SVM,regression,Factor_Analysis,3.9124194415509614,0.5717971997412733,0.7656218872317448
SVM,regression,genetic_algorithm,11.561558285184107,-0.1589850869021825,0.0320107087875223
SVM,regression,correlation_variance_filter,3.745183812068768,0.5901006474970993,0.7690865408730042
